config_id,W1,W2,W3,beta
0,0.492,0.05,0.458,2.5
1,0.492,0.05,0.458,2.75
2,0.492,0.05,0.458,3.0
3,0.492,0.05,0.458,3.25
4,0.492,0.05,0.458,3.5
5,0.492,0.05,0.458,2.5
6,0.492,0.05,0.458,2.75
7,0.492,0.05,0.458,3.0
8,0.492,0.05,0.458,3.25
9,0.492,0.05,0.458,3.5
10,0.492,0.05,0.458,2.5
11,0.492,0.05,0.458,2.75
12,0.492,0.05,0.458,3.0
13,0.492,0.05,0.458,3.25
14,0.492,0.05,0.458,3.5
15,0.492,0.05,0.458,2.5
16,0.492,0.05,0.458,2.75
17,0.492,0.05,0.458,3.0
18,0.492,0.05,0.458,3.25
19,0.492,0.05,0.458,3.5
20,0.492,0.05,0.458,2.5
21,0.492,0.05,0.458,2.75
22,0.492,0.05,0.458,3.0
23,0.492,0.05,0.458,3.25
24,0.492,0.05,0.458,3.5
25,0.689,0.05,0.261,2.5
26,0.689,0.05,0.261,2.75
27,0.689,0.05,0.261,3.0
28,0.689,0.05,0.261,3.25
29,0.689,0.05,0.261,3.5
30,0.689,0.05,0.261,2.5
31,0.689,0.05,0.261,2.75
32,0.689,0.05,0.261,3.0
33,0.689,0.05,0.261,3.25
34,0.689,0.05,0.261,3.5
35,0.689,0.05,0.261,2.5
36,0.689,0.05,0.261,2.75
37,0.689,0.05,0.261,3.0
38,0.689,0.05,0.261,3.25
39,0.689,0.05,0.261,3.5
40,0.689,0.05,0.261,2.5
41,0.689,0.05,0.261,2.75
42,0.689,0.05,0.261,3.0
43,0.689,0.05,0.261,3.25
44,0.689,0.05,0.261,3.5
45,0.689,0.05,0.261,2.5
46,0.689,0.05,0.261,2.75
47,0.689,0.05,0.261,3.0
48,0.689,0.05,0.261,3.25
49,0.689,0.05,0.261,3.5
50,0.9,0.05,0.05,2.5
51,0.9,0.05,0.05,2.75
52,0.9,0.05,0.05,3.0
53,0.9,0.05,0.05,3.25
54,0.9,0.05,0.05,3.5
55,0.9,0.05,0.05,2.5
56,0.9,0.05,0.05,2.75
57,0.9,0.05,0.05,3.0
58,0.9,0.05,0.05,3.25
59,0.9,0.05,0.05,3.5
60,0.9,0.05,0.05,2.5
61,0.9,0.05,0.05,2.75
62,0.9,0.05,0.05,3.0
63,0.9,0.05,0.05,3.25
64,0.9,0.05,0.05,3.5
65,0.9,0.05,0.05,2.5
66,0.9,0.05,0.05,2.75
67,0.9,0.05,0.05,3.0
68,0.9,0.05,0.05,3.25
69,0.9,0.05,0.05,3.5
70,0.9,0.05,0.05,2.5
71,0.9,0.05,0.05,2.75
72,0.9,0.05,0.05,3.0
73,0.9,0.05,0.05,3.25
74,0.9,0.05,0.05,3.5
75,0.9,0.05,0.05,2.5
76,0.9,0.05,0.05,2.75
77,0.9,0.05,0.05,3.0
78,0.9,0.05,0.05,3.25
79,0.9,0.05,0.05,3.5
80,0.9,0.05,0.05,2.5
81,0.9,0.05,0.05,2.75
82,0.9,0.05,0.05,3.0
83,0.9,0.05,0.05,3.25
84,0.9,0.05,0.05,3.5
85,0.9,0.05,0.05,2.5
86,0.9,0.05,0.05,2.75
87,0.9,0.05,0.05,3.0
88,0.9,0.05,0.05,3.25
89,0.9,0.05,0.05,3.5
90,0.9,0.05,0.05,2.5
91,0.9,0.05,0.05,2.75
92,0.9,0.05,0.05,3.0
93,0.9,0.05,0.05,3.25
94,0.9,0.05,0.05,3.5
95,0.9,0.05,0.05,2.5
96,0.9,0.05,0.05,2.75
97,0.9,0.05,0.05,3.0
98,0.9,0.05,0.05,3.25
99,0.9,0.05,0.05,3.5
100,0.9,0.05,0.05,2.5
101,0.9,0.05,0.05,2.75
102,0.9,0.05,0.05,3.0
103,0.9,0.05,0.05,3.25
104,0.9,0.05,0.05,3.5
105,0.9,0.05,0.05,2.5
106,0.9,0.05,0.05,2.75
107,0.9,0.05,0.05,3.0
108,0.9,0.05,0.05,3.25
109,0.9,0.05,0.05,3.5
110,0.9,0.05,0.05,2.5
111,0.9,0.05,0.05,2.75
112,0.9,0.05,0.05,3.0
113,0.9,0.05,0.05,3.25
114,0.9,0.05,0.05,3.5
115,0.9,0.05,0.05,2.5
116,0.9,0.05,0.05,2.75
117,0.9,0.05,0.05,3.0
118,0.9,0.05,0.05,3.25
119,0.9,0.05,0.05,3.5
120,0.9,0.05,0.05,2.5
121,0.9,0.05,0.05,2.75
122,0.9,0.05,0.05,3.0
123,0.9,0.05,0.05,3.25
124,0.9,0.05,0.05,3.5
