candidate_idx,lat,lon,appearance_frac,appearance_pct,is_robust,n_configs_appeared,n_configs_total
2005,35.22687145463242,-80.84425146393365,0.96,96.0,True,120,125
300,35.06516084692302,-80.77056867499812,0.6,60.0,False,75,125
1668,35.147011394094164,-80.8089963819383,0.48,48.0,False,60,125
903,35.21906260905721,-80.79992469155737,0.44,44.0,False,55,125
398,35.34650511633515,-80.85456535712129,0.4,40.0,False,50,125
1975,35.03316191905929,-80.80923793692489,0.4,40.0,False,50,125
2098,35.141031311054796,-80.97683097279042,0.36,36.0,False,45,125
229,35.204415590094605,-80.80875847743191,0.36,36.0,False,45,125
10,35.247315021798,-80.80508934290211,0.36,36.0,False,45,125
373,35.197361217042044,-80.87017028396082,0.32,32.0,False,40,125
468,35.21014781563,-80.75634769005448,0.32,32.0,False,40,125
479,35.247061210463585,-80.75185884951063,0.32,32.0,False,40,125
756,35.18651320746392,-80.82214407483846,0.32,32.0,False,40,125
1765,35.14726996325583,-80.83258886063521,0.32,32.0,False,40,125
299,35.31928521532071,-80.9521101722722,0.28,28.0,False,35,125
1780,35.173750298294806,-80.84061739198334,0.24,24.0,False,30,125
669,35.17382174077665,-80.84061061169707,0.24,24.0,False,30,125
1174,35.25179055032724,-80.78086778667034,0.24,24.0,False,30,125
1985,35.03324714629248,-80.8068831921859,0.24,24.0,False,30,125
1614,35.34727459999158,-80.85401949044338,0.24,24.0,False,30,125
